Episode,ClassId,SurvivalTime,DamageTaken,AvgDistance,IsWin,SkillId,CastCount,HitCount,TotalDamage,ChargeAttempt,ChargeSuccess,CcAttempt,CcSuccess
1,0,42.24,307.25,7.52,0,3,9,0,0.00,9,9,9,0
1,0,42.24,307.25,7.52,0,2,15,1,10.00,0,0,0,0
1,0,42.24,307.25,7.52,0,6,7,0,0.00,7,7,7,0
1,0,42.24,307.25,7.52,0,1,37,0,0.00,0,0,0,0
1,1,42.22,54.00,7.51,1,8,9,0,0.00,0,0,0,0
1,1,42.22,54.00,7.51,1,7,30,1,5.00,0,0,0,0
1,1,42.22,54.00,7.51,1,9,9,0,0.00,9,9,9,0
1,1,42.22,54.00,7.51,1,12,4,3,180.00,4,4,4,3
2,0,40.98,256.00,5.84,0,1,38,0,0.00,0,0,0,0
2,0,40.98,256.00,5.84,0,3,8,1,30.00,8,8,8,1
2,0,40.98,256.00,5.84,0,6,5,1,50.00,5,5,5,1
2,0,40.98,256.00,5.84,0,2,13,1,10.00,0,0,0,0
2,1,40.98,95.00,5.84,1,7,21,8,40.00,0,0,0,0
2,1,40.98,95.00,5.84,1,12,3,3,180.00,3,3,3,3
2,1,40.98,95.00,5.84,1,8,6,0,0.00,0,0,0,0
2,1,40.98,95.00,5.84,1,9,6,0,0.00,6,6,6,0
3,0,43.48,255.50,5.23,0,3,11,0,0.00,11,11,11,0
3,0,43.48,255.50,5.23,0,2,17,1,10.00,0,0,0,0
3,0,43.48,255.50,5.23,0,6,7,2,100.00,7,7,7,2
3,0,43.48,255.50,5.23,0,1,45,0,0.00,0,0,0,0
3,1,43.48,168.50,5.23,1,7,26,8,40.00,0,0,0,0
3,1,43.48,168.50,5.23,1,12,3,2,120.00,3,3,3,2
3,1,43.48,168.50,5.23,1,8,7,0,0.00,0,0,0,0
3,1,43.48,168.50,5.23,1,9,8,0,0.00,8,7,8,0
4,0,38.80,252.00,4.73,0,3,7,1,30.00,7,7,7,1
4,0,38.80,252.00,4.73,0,6,5,2,100.00,5,5,5,2
4,0,38.80,252.00,4.73,0,2,13,1,10.00,0,0,0,0
4,0,38.80,252.00,4.73,0,1,38,2,40.00,0,0,0,0
4,1,38.80,144.00,4.73,1,7,20,11,55.00,0,0,0,0
